#Word1	Word2	Score
ванна	жонка	0.31
ванна	шар	0.15
ванная	спальня	1.08
ванная	кухня	2.08
ветлівы	прыстойны	5.38
ровар	спальня	0
вера	кветка	0.23
вераванне	думка	1.31
вераванне	прадстаўленне	4.62
верх	боку	1.46
вечар	змярканне	7.23
дарослы	немаўля	0.31
дарослы	апякун	5.38
бачаньне	успрыманне	7.62
віно	брэндзі	4.62
віно	спіртное	6.46
віскі	джын	5.69
віскі	шампанскае	2.31
вітамін	жалеза	2.69
укладваць	злучаць	1.92
увага	інтарэс	7.08
увага	дасведчанасць	2.85
вада	лёд	2
вада	соль	0
кіроўца	пілот	6.62
паветра	гелій	1.85
красьці	купляць	0
цудоўны	выдатны	9.08
цудоўны	радасны	5.23
лекар	ортодонт	3.85
лекар	самавалоданне	2.23
уваходзіць	завінаваціцца	0.08
выбіраць	абіраць	8.54
выбар	Вена	0.15
выйграваць	дамінаваць	7.38
цягавітасьць	сіла	4.38
выказвацца	удзельнічаць	1.85
выхад	праход	4.54
выхадны	тыдзень	2.92
газета	інфармацыя	5.54
гераіня	герой	6.54
гітара	барабан	0.85
старшыня	кіраўнік	8.62
старшыня	мэр	7.08
старшыня	выбар	0.85
старшыня	канец	1
вока	сляза	1.77
глыбіня	велічыня	3.15
казаць	чуць	0.08
казаць	прызнаваць	4.23
казаць	пацвярджаць	2.92
ганарар	плацеж	8
ганарар	зарплата	8.77
ганчак	ліса	0.62
гара	выступ	4.15
горла	нос	2.92
спадарыня	спадар	4.38
грэшнік	святы	0.15
грып	спякота	3.69
грукат	шум	7.92
грубы	абыякавы	2.85
гружаны	цяжкі	6.38
група	аркестр	4.77
брудны	танней	0.77
брудны	вузкі	0
даваць	пазычаць	6.85
даваць	укладваць	5.46
даваць	займаць	6.31
даваць	красьці	0
даваць	ведаць	0.46
дантыст	палкоўнік	0.31
дата	каляндар	4.46
дзверы	праём	4.92
дзверы	падвал	0.38
дзверы	вароты	3.15
дзверы	калідор	0.69
дзверы	падлога	0.31
дзверы	кухня	1.23
дзяўчынка	дзіця	4.69
дзяўчынка	дзяўчына	5.77
дзеянне	рух	7.08
дзеянне	курс	3.08
дзейнічаць	адбывацца	4
рабіць	будаваць	6.38
рабіць	станавіцца	3.54
рабіць	спыняць	2.38
дзень	світанне	1.54
дзень	раніца	0.77
грошы	зарплата	7.54
грошы	капітал	8.08
грошы	жэмчуг	3.08
грошы	брыльянт	4.08
дрэва	клён	5.23
дрэва	бервяно	5.92
дрэва	папера	2.85
трымаць	займаць	3.31
трымаць	даваць	0.31
дзёрзкі	горды	0.85
дзесяцігоддзе	стагоддзе	2.08
канапа	крэсла	1.23
дыета	салата	2.85
дыета	яблык	2.38
дыск	кампутар	2.54
дыскусія	спрэчка	8.69
доўгі	вузкі	1
дадаваць	будаваць	0.77
дамагацца	пераконваць	5.23
здабываць	зарабляць	6.62
дождж	імжа	7.31
доказ	факт	6.62
доктар	прафесар	4.46
даляр	народ	0.23
дом	кватэра	6.92
дом	ключ	0.62
дом	дыван	0.85
дом	свіран	3.08
дом	дзяржава	2.69
домік	хаціна	8.38
дарожка	шар	0
прыкрасьць	злосць	5.69
дасягаць	завяршаць	6.62
дасягаць	спрабаваць	1.85
дасягаць	мець поспех	7.38
дасягаць	заставацца	3.08
дачка	дзіця	7.69
сябар	прыяцель	9.31
сябар	госьць	2.46
сябар	настаўнік	3
сябар	хлопец	1
прыязны	велікадушны	4.46
дуб	клён	2.92
думаць	абгрунтоўваць	5
думаць	вырашаць	6.08
думаць	пытацца	3.31
дзірка	жонка	0.15
дыхаць	задыхацца	2.62
дзядзька	цётка	0
скардзіцца	лаяцца	3.54
спякота	хвароба	6.31
страўнік	талія	0
страўнік	Вена	0.38
страўнік	спальня	0
жонка	муж	0
жонка	салома	0.15
жаніх	нявеста	0
жанчына	мужчына	0
жанчына	сакратар	1.54
жанчына	жонка	4.62
жанчына	мех	0.46
жорсткі	бязлітасны	3.77
жывёліна	чалавек	2.54
забіраць	кідаць	0.08
забываць	ігнараваць	5.46
забываць	пазнаваць	0
забываць	ведаць	0
забываць	памятаць	0.08
завяршаць	вырашаць	1.38
завяршаць	станавіцца	3.92
сняданак	бекон	2.38
сняданак	вячэра	2
забруджванне	атмасфера	1.92
забруджванне	прэзідэнт	0.31
заданне	задача	8.85
задача	праца	6.92
задача	жанчына	0.46
задача	аўтастрада	0.31
задача	дробязь	0.46
завінаваціцца	пазычаць	5.08
заход	світанне	0
заход	вечар	5.46
замяняць	аднаўляць	2.38
прыкметны	відавочны	6.77
займаць	жабраваць	2.62
займаць	прадаваць	1.62
займаць	хацець	0.38
заслугоўваць	зарабляць	4.46
абараняць	адстойваць	8.85
звер	жывёліна	8.38
званок	дзверы	1.31
збожжа	гарчыца	1.38
зіма	лета	0
зіма	сезон	3.92
колас	пшаніца	6.62
злосць	лютасць	8.85
злосць	настрой	3.62
ведаць	верыць	2.69
ведаць	разумець	3.46
ігнараваць	пазбягаць	7.77
ігнараваць	абарачацца	1.54
ігнараваць	даследаваць	0.08
гульня	весялосьць	5.23
гульня	спрыт	0.54
гульня	дзеянне	4.62
ідэя	чын	5.69
ідэя	план	6.54
ісьці	прыходзіць	6.46
ісьці	уваходзіць	4.15
ісьці	пасылаць	1.08
ісьці	дазваляць	0.08
вестка	газета	5.23
выгіб	кут	4.69
зносаўстойлівасць	павязка	0.85
багацце	мноства	8.69
маляваць	паведамляць	0.54
вывучаць	ацэньваць	3.15
вывучаць	выяўляць	6
вывучаць	займацца	3.46
імітаваць	маляваць	7.54
інтэлект	логіка	4.31
інфармаваць	паведамляць	9.46
даследаваць	вывучаць	8.69
істэрыка	зацямненне	4.77
гісторыя	тэма	1.85
знікаць	сціскацца	3.92
кабінка	будка	7.54
ўяўны	відавочны	2.92
капітан	марак	3.92
карніз	фіранка	2.31
карта	брыдж	1.23
рондаль	прыбор	2
кватэра	мэбля	1.69
кватэра	гасцініца	3.23
пэндзаль	палец	3.23
пэндзаль	запясце	5.23
пэндзаль	ступня	0
клас	калідор	1.46
класці	вешаць	1
клуб	грамадства	6.69
кніга	тэкст	5.31
кніга	літаратура	6
кніга	гісторыя	1.38
кніга	Біблія	5.23
кніга	тэма	2.075
кніга	інфармацыя	5.31
кніга	эсэ	3.77
кніга	артыкул	3.92
код	сімвал	6.08
койка	бальніца	2.38
каледж	прафесія	2.62
каледж	клас	2.38
калекцыянаваць	захоўваць	5.62
камунікацыя	тэлебачанне	6.62
пакой	ванна	0.85
пакой	ложак	1.15
пакой	камера	5.08
кампетэнцыя	здольнасьць	2.425
кампазітар	пісьменнік	4.54
камфорт	бяспека	6.31
канечнасьць	нага	7.85
кантэйнер	мыш	0.15
конь	жарабя	6.23
конь	бык	1.31
корань	трава	2.92
скрынка	ліфт	1.77
скрынка	капялюш	0.69
карова	быдла	8.08
карова	каза	2.15
кароль	прынцэса	0.85
кароткі	доўгі	0
карпарацыя	прадпрыемства	8.31
костка	сківіца	2.08
костка	шчыкалатка	2.08
костка	калена	2.69
костка	шыя	2.15
костка	зуб	2.08
костка	локаць	1.54
кот	львы	1.15
кот	гадаванец	4.46
кот	трус	0.46
катэдж	домік	7.38
край	канец	7.54
прыгожы	выдатны	9.38
прыгажосць	узрост	2.85
ложачак	калыска	7.69
ложак	спальня	2.46
ложак	ложачак	9
ложак	мэбля	3.08
ложак	кушэтка	8
ложак	крэсла	1.23
кроў	плоць	1.23
кроў	мозг	1.23
малюсенькі	велізарны	0
буйны	вялікі	9.46
буйны	гнуткі	0
пацук	мыш	3.46
дах	столь	2.77
дах	падлога	0.23
кузен	дзядзька	4.77
курыца	індычка	3.54
курс	страўнік	0
кураціна	рыс	0.38
кураціна	стейк	4
кушэтка	бейсбол	0.23
лагер	домік	1.92
збірацца	дагаджаць	4.85
лёгкі	цяжкі	0
лёгкі	вялікі	0
песціць	захоўваць	3.77
лен	тканіна	3.46
лімон	чай	0.23
лінза	фотаапарат	1.77
спрытны	цягавіты	3.92
логіка	арыфметыка	4.38
лодка	якар	2
шчыкалатка	акно	0
лыжка	кубак	1.54
локаць	шчыкалатка	0.69
конь	кабыла	10
месяц	планета	4.62
прамень	сонца	3.54
хлопчык	дзіця	5.62
хлопчык	сын	3.62
хлопчык	партнёр	1
хлопчык	брат	2.54
хлопчык	салдат	1.23
марыхуана	трава	5.85
алей	бульба	0.77
алей	норка	0.62
маці	апякунка	3.85
маці	жонка	2
медбрат	навуковец	2
меню	заказ	3.31
метал	алюміній	4.62
метр	ярд	4.85
метр	цаля	2.62
механізм	рухавік	5.08
мілы	жорсткі	0
свет	дол	5.85
міска	хвост	0.15
мішэнь	страла	1.08
немаўля	дачка	4.69
думка	выбар	1.77
думка	ідэя	3
думка	уражаньне	5.23
малекула	атам	3.85
малекула	паветра	3.77
малако	сок	1.85
мора	акіян	5.77
імжа	дождж	7.77
матэль	гасцініца	9.31
матор	рухавік	8.92
матор	лодка	0.31
мудрасць	розум	8.23
мужнасьць	стрыманасць	2.54
мужчына	дзядзька	4.38
мужчына	бацька	5.08
мужчына	дзіця	0.23
мужчына	муж	5.62
мужчына	воін	5.92
мужчына	братэрства	1.69
музыка	мелодыя	8.77
мускул	костка	0.62
мускул	мова	1.69
мышка	котка	1.54
мыш	кіраванне	3.85
мяса	бекон	6
мяса	бутэрброд	2.08
мяса	хлеб	1.31
мяч	кошык	0.77
мяч	пальчатка	1
прызначаць	абіраць	2.85
прызначэнне	абавязацельства	3.92
падатак	даход	2.23
нагадваць	забываць	2.77
нагадваць	прадаваць	0.15
народ	цэнт	0.15
народ	стрэльба	0.08
народ	шар	0.08
насякомае	пчала	6.46
насельніцтва	народ	8.62
цешыцца	забаўляцца	6.69
настаўнік	памочнік	3.46
настаўнік	рабін	4.69
настрой	эмоцыя	7.38
настроіць	упэўненасць	4.69
навука	псіхалогія	2.69
знаходзіць	знікаць	0
пачынаць	адбывацца	4.08
пачынаць	спыняць	0
пачынаць	ісьці	0.46
неба	сусвет	3.77
невуцтва	розум	1.69
нявеста	прынцэса	1.46
нядаўні	новы	6.77
недарагі	танней	9.46
нелегальны	амаральны	1.62
нямы	рэдкі	0
ненармальны	нармальны	0
ненармальны	незвычайны	5.92
непатрэбны	неабходны	0
неабходны	важны	7.38
незвычайны	звычайны	0
неад'емны	неабходны	8.15
нерв	мозг	2.85
несці	прыносіць	6.62
нецярплівы	неспакойны	7.77
няўрымслівы	малады	1.85
ніз	верх	0
ніз	боку	0.46
новы	свежы	7.77
новы	стары	0
нага	рука	0
пазногаць	палец	3.31
пазногаць	пэндзаль	0.85
норка	мех	1.54
нос	рот	1.23
носьбіт	навіна	1
ноч	дзень	0
ноч	світанне	1.08
ноч	кіраўнік	0.23
воблака	туман	3.77
воблака	смуга	3.38
воблака	надвор'е	2.46
воблака	імгла	2.85
вобласць	рэгіён	9.08
вобласць	зона	8.08
вобласць	кут	1.92
выяўляць	знаходзіць	8.85
заручацца	ажаніцца	6.77
акалічнасць	сітуацыя	5.92
абмяркоўваць	тлумачыць	5.77
мець зносіны	маліцца	2.38
зносіны	мова	3.85
зносіны	гутарка	8.85
аб'ядноўвацца	ажаніцца	4.31
аб'ядноўвацца	набываць	2
аб'яўляць	абвяшчаць	8.46
тлумачыць	даказваць	8.23
авечка	ягня	6.15
авечка	быдла	6.08
агароджа	плот	9.54
велізарны	тупы	0
адзенне	шафа	0.92
адзенне	тканіна	2.925
адзенне	скрыня	0.31
адзенне	гузік	2.46
адзенне	паліто	7.54
адзенне	пінжак	4
возера	балота	3.31
акно	дзверы	0.15
волава	алюміній	2.54
волава	метал	4.85
небяспека	пагроза	9.69
небяспека	хвароба	5
вызначаць	прадказваць	5.31
плойма	натоўп	7.15
орган	печань	3.15
арганізоўваць	станавіцца	1.38
аркестр	парад	1.54
ортодонт	дантыст	6.85
аглядаць	вывучаць	5.31
усведамляць	выяўляць	5.15
заставацца	захоўваць	3.08
выспа	задача	0.15
востры	тупы	0
не прымаць	пазбягаць	5.85
бацька	бацькі	9.46
бацька	дачка	1.92
бацька	маці	1.54
бацька	брат	0.69
бацька	бог	4.92
адкрываць	адбывацца	2.54
адсоўваць	не прымаць	4.46
адлюстраванне	чын	6.31
адмаўленне	прызнанне	1.31
адсутнасць	прысутнасьць	0.08
афіцыйны	прыстойны	2.31
пакт	пагадненне	8.54
пакт	умова	3.46
палец	далонь	3.15
палуба	мыш	0.15
хлопец	бабнік	2.31
хлопец	таварыш	4.77
хлопец	дзяўчына	0.31
пачак	цыгара	2.31
песня	гісторыя	1.77
завеса	пояс	0.85
смутак	сорам	2
журботны	смешны	0
журботны	жудасны	2.31
піва	алкаголь	6.31
піва	напой	4
піва	шампанскае	1.62
пісьменнік	чытач	1.92
ліст	абзац	1.62
платформа	вагон	2.62
платформа	кантэйнер	0.54
плячо	галава	0.54
дрэнны	жудасны	8.62
дрэнны	амаральны	5.85
дрэнны	цудоўны	0
дрэнны	вінаваты	1.62
пляж	узбярэжжа	6.62
пляж	выспа	4.46
пляж	мора	3.46
пляж	рыф	1.38
перамога	трыумф	9.62
пераможца	кандыдат	1.92
пераможца	прысутнасьць	0.46
пераможца	гол	4
перамагаць	мець поспех	5.85
перамагаць	завяршаць	0.46
перамагаць	дамінаваць	5.23
паглынаць	вучыцца	1.23
паглынаць	мець	1.92
паглынаць	аддзяляцца	0.23
падбадзёрваць	адгаворваць	0.38
сяброўка	маці	2.38
пацвярджаць	абгрунтоўваць	5.38
дазваляць	вырашаць	9.38
пакідаць	уваходзіць	0.69
пакідаць	ісьці	2
пакідаць	заставацца	0.08
пакідаць	ігнараваць	1.23
пакідаць	вандраваць	1.85
пакідаць	з'яўляцца	0.15
рахманы	гнуткі	4
падлога	столь	1.31
падлога	палуба	6.23
палітык	прэзідэнт	7.46
паліцэйскі	шэрыф	8.54
поліэстэр	бавоўна	1.92
атрымліваць	даваць	0.08
атрымліваць	прызначаць	0.23
памочніца	служанка	6
разумець	ведаць	6.77
разумець	слухаць	4.38
разумець	дараваць	5.69
разумець	задавальняць	1.77
наведваць	прыбываць	5.46
пасцель	коўдра	3.38
пасылаць	атрымліваць	0.15
пасылаць	наведваць	0
столь	сабор	0.08
нырка	орган	7.69
з'яўляцца	наведваць	4.77
права	правасуддзе	4.92
свята	цырымонія	6.85
меркаваць	прадказваць	6.62
прадпрыемства	прамысловасць	5.23
прадпрыемства	кампанія	9.23
прадстаўнік	адвакат	6.15
прадстаўляць	вырашаць	0.38
прадузятасць	думка	4.92
прэзідэнт	мэр	3.92
выдатны	цудоўны	9.38
выдатны	жудасны	0
злачынства	крадзеж	5
злачынства	махлярства	5.69
злачынства	парушэнне	6.23
мець поспех	правальваецца	0
мець поспех	спрабаваць	1.77
прыбываць	пакідаць	0
прыбываць	прыходзіць	8.08
вітаць	сустракаць	7.15
звычка	манера	8.15
прызнаваць	паведамляць	3.54
прымаць	не прымаць	0.345
прымаць	прызнаваць	7.08
прымаць	верыць	2.54
прымаць	дараваць	5.08
прымаць	рэкамендаваць	0.46
прымаць	дастаўляць	0.08
прыносіць	пасылаць	0.62
прыносіць	аднаўляць	0.23
прыносіць	скардзіцца	0.08
прынц	кароль	5.08
прынцэса	выспа	0
набываць	атрымліваць	7.115
набываць	знаходзіць	5.15
набываць	купляць	8.46
прысутнасьць	дзверы	0.92
прыкідвацца	здавацца	4.92
прыкідвацца	уяўляць	1.77
прыкідвацца	маляваць	6
прыходзіць	наведваць	7.85
прыходзіць	прыносіць	0.23
прыяцель	спадарожнік	4.77
прыемны	велікадушны	3.54
правальваецца	бянтэжыць	0.69
провад	шнура	7.92
абвяшчаць	аб'яўляць	7.23
прадавацца	прадаваць	4.23
прайграваць	правальваецца	3.92
здарэньне	аварыя	4.92
прападаць	знікаць	9.31
прарэх	пагадненне	0
прасіць	маліць	8
прасіць	маліцца	5.46
просты	лёгкі	7
праход	калідор	7.61666666666667
дараваць	забываць	5.54
растлумачваць	тлумачыць	8.31
пруток	турма	0.08
пруток	клетка	0.08
псалом	заваёва	0.31
псалом	салома	0
птушка	ястраб	5.23
птушка	індычка	4.08
птушка	курыца	5.46
бурбалка	пена	3.23
падарожжа	заваёва	0.69
падарожжа	паездка	8.31
пчала	матка	2.77
пчала	мурашка	0.62
спрабаваць	думаць	0.38
праца	кіраванне	4.46
работнік	механік	2.54
работнік	фотаапарат	0.62
працадаўца	работнік	1.93
рабін	святар	7.38
радасць	гордасць	1.77
разбор	вердыкт	2.62
забава	футбол	1.69
памер	велічыня	8.15
разважаць	думаць	9.15
руйнаваць	ствараць	0
руйнаваць	арганізоўваць	0
руйнаваць	будаваць	0
разбурэнне	пабудова	0.23
дзе ракі зімуюць	хвароба	7.54
ранімы	абыякавы	0.15
пашырацца	расці	8.08
рэальнасць	фантазія	0.23
рэальнасць	ілюзія	0.15
дзіця	дарослы	0
дзіця	хлопчык	5.38
ребячливый	безразважны	5.08
рака	паток	6.23
рака	даліна	0.23
рака	мора	2.62
вырашаць	выбіраць	6.77
вырашальны	важны	7.08
рыс	боб	1.08
рыс	хлопчык	0.08
рытм	мелодыя	5
бацькі	дарослы	3.54
нараджаць	насіць	3.69
ражок	барабан	0.62
рот	губа	4.31
рот	зуб	3.15
рубеж	мяжа	9.77
стрэльба	гармата	3.38
стрэльба	нож	1.23
стрэльба	свавольства	0.38
стрэльба	світанне	0.08
стрэльба	мех	0.54
рука	плячо	2
рука	запясце	2.54
рука	мускул	1.54
рука	цела	1.15
рука	Вена	1.08
рука	калена	0.46
рука	костка	1.62
рука	шыя	0.62
кіраўніцтва	кіраванне	8.69
салата	воцат	1.31
самалёт	аэрапорт	1.31
самалёт	джет	5.69
самаўпэўнены	упэўнены	7.38
цукар	мёд	2.69
свежы	шырокі	0
швэдар	пінжак	1.54
святар	манах	7.38
поўнач	Захад	0.46
секунда	хвіліна	2.69
сэрца	аперацыя	1
сціскацца	расці	0
сіла	моц	7.77
сіла	здольнасьць	2.38
моцны	горды	3.23
сімуляваць	прыкідвацца	9.23
сітуацыя	стан	2.62
складваць	дзяліць	0.15
хуткі	хуткасны	9.15
быдла	бык	5.23
скрыпка	інструмент	4.46
сціплы	рахманы	2.46
скрытны	дзіўны	3.15
бедны	рэдкі	4.85
сумны	смешны	0
слоўнік	тлумачэнне	5.69
слова	слоўнік	2.77
слова	літаратура	3.31
слова	старонка	2.15
слова	ключ	1
здарацца	адбывацца	9.46
слухаць	чуць	7
слухаць	падпарадкоўвацца	5
слухацца	падпарадкоўвацца	6.85
золь	бруд	7.85
смерць	пахаванне	5.31
смерць	трагедыя	4.77
смерць	бедзтва	1.92
снег	надвор'е	3.08
снег	шторм	2.15
сабака	котка	0
сабака	конь	0.62
збірацца	сустракацца	7.08
збірацца	наведваць	0.62
раіць	рэкамендаваць	9.46
сучасны	старадаўні	0
згаджацца	спрачацца	0.15
згаджацца	адмаўляць	0
злучаць	дадаваць	4.62
ствараць	рабіць	8.31
ствараць	будаваць	6.92
ствараць	прадстаўляць	0.15
стваральнік	вытворца	9.46
сонца	неба	1.69
кемлівы	інтэлектуальны	8.31
кемлівы	тупы	0
адпавядаць	адрознівацца	0
сапернік	праціўнік	9.08
стан	хлопчык	0.85
сасуд	Вена	6.77
супрацоўнічаць	удзельнічаць	3.69
супрацоўнічаць	аб'ядноўвацца	6.38
захоўваць	абараняць	6.85
спіртное	стагоддзе	0
спіртное	група	0.23
плётка	навіна	4.85
спрэчка	пагадненне	1.31
спрэчка	крытыка	3.92
спрачацца	адрознівацца	1.46
спрачацца	пераконваць	7.31
параўноўваць	аналізаваць	5.38
шклянка	ражок	5.08
станавіцца	здавацца	2.925
стары	новы	0
стары	свежы	0
артыкул	часопіс	3.92
стейк	мяса	6.54
шкло	крышталь	5.69
сцяна	цэгла	1.92
сцяна	апрацоўка	2.85
стыль	мода	7.62
старонка	абзац	2
дзіўны	незвычайны	8.92
дзіўны	скрытны	2.69
вандраваць	блукаць	8.15
крэсла	лаўка	3
ступня	галава	1.38
судна	палуба	3.08
судна	аўтамабіль	0.85
сумачка	сумка	9.38
шчасце	поспех	7.77
шчасце	прымірэнне	6.15
шчаслівы	радасны	8.46
шчаслівы	задаволены	8.08
шчаслівы	злы	0
шчаслівы	малады	0.46
сын	бацька	1.46
тытунь	цыгарэта	7.31
таксі	таксаматор	6.38
таксаматор	аўтобус	5.15
талерка	міска	8.31
цвёрды	трывалы	7.77
цвёрды	шчыльны	6.31
цяля	бык	5.38
тэлефон	будка	2.62
цела	грудзі	3.62
цела	страўнік	0.92
цела	плячо	1.54
цела	пазваночнік	3.38
цела	нерв	2
тэрапеўт	лекар	5.23
губляць	захоўваць	0
губляць	атрымліваць	0.08
цётка	пляменнік	1.38
натоўп	група	6.38
натоўп	парад	4.77
тужлівы	сумны	8.62
трава	травінка	8.31
трава	мох	5
трапеза	вячэра	8.15
трапеза	талія	0.85
марнаваць	збіраць	0
патрабаваць	запытваць	6.15
трубка	цыгара	5.31
цяжкі	просты	0
трук	памер	0.23
тупы	дурацкі	7.54
тупы	дурны	8.54
тупы	інтэлектуальны	0
тупы	разумны	0
хмара	бура	2.38
турма	выбар	0.62
грунтоўны	важкі	8.62
цяжкі	лёгкі	0
перакананы	бясспрэчны	5.92
прытулак	хаціна	7.15
забіваць	знішчаць	7.92
забіваць	душыць	7.08
забіваць	вешаць	3
забіваць	абараняць	1.54
упэўненасць	самасць	6
дагаджаць	маліць	0.77
дагаджаць	забаўляць	5.46
задавальняць	дагаджаць	6.77
вячэра	сняданак	0.31
вячэра	трапеза	7.23
вячэра	суп	2.69
вячэра	кураціна	1.15
вузкі	шырокі	0
пазнаваць	слухаць	1.62
вуліца	завулак	5.69
вуліца	аўтамабіль	0.62
розум	навык	2.85
розум	праніклівасць	6.15
памяншацца	сціскацца	8.46
памнажаць	дзяліць	0.46
памнажаць	складваць	2.92
маліць	прасіць	8.08
намаганне	цяжкасць	4.38
ладзіць	арганізоўваць	7.62
ладзіць	мець патрэбу	0.23
удзельнічаць	далучацца	6.46
навучэнец	вучань	9.85
навучэнец	выкладчык	1.69
вучань	прэзідэнт	0.38
настаўнік	выкладчык	9.92
цясніну	даліна	2.85
факт	сутнасьць	6.77
факультэт	юрыспрудэнцыя	1.92
фільм	кінастужка	9.92
флот	армія	4.38
формула	ураўненьне	7
формула	часопіс	0.08
фотаапарат	прэзідэнт	0.15
фраза	слова	2
хімія	тэорыя	2.62
хітры	разумны	3.38
хлеб	мука	5.15
хлеб	сыр	0.38
пагорак	уцёс	3.54
хацець	выбіраць	1.15
захоўваць	валодаць	5.31
захоўваць	абараняць	6.15
кветка	фіялка	6.31
кветка	цыбуліна	2.31
кветка	куст	3
кветка	цягавітасьць	0.46
мэта	пошук	0.62
каштоўнасць	вера	2.23
цэнт	памер	0.69
цэнт	жонка	0.23
царква	хор	1.46
кубак	збан	3.15
чалавек	пераможца	0.46
чалавек	ахоўнік	2.31
чэмпіён	пераможца	9.38
сумленны	вінаваты	0
пара	тандэм	8.08
чытаць	разумець	0.31
пачуццё	інтуіцыя	6.85
цудоўны	дзіўны	8.54
пачвара	дэман	6.85
шыя	пазваночнік	2.62
шырокі	вузкі	0
школа	клас	3.69
шланг	сад	0.77
капялюш	паліто	1.23
капялюшык	цвік	0.85
шакалад	пірог	1.77
шпіль	капліца	2.08
шум	грукат	7.62
шчака	мова	2.69
экзатычны	рэдкі	7.46
эксцэнтрычны	дзіўны	6.31
эластычны	гнуткі	7.92
элегантнасць	стыль	6.46
электарат	партыя	2.08
эмоцыя	запал	3.85
эпоха	дзесяцігоддзе	4.31
юбілей	год	2.69
юбілей	дата	6.62
поўдзень	поўнач	0
юрыст	банкір	1.15
яблык	сок	1.38
яблык	слодыч	1.54
яблык	павідла	3.15
яблык	лімон	1.31
яблык	сонца	0.15
ядро	гармата	2.77
мова	горла	1.38
ярд	цаля	2.62
люты	злы	7.46
